param_name,param_value,accuracy,precision,recall,f1,auc,dataset,algorithm
C,0.001,0.876,0.0,0.0,0.0,0.9827,sms_spam,svm
C,0.01,0.876,0.0,0.0,0.0,0.9831,sms_spam,svm
C,0.1,0.8798,1.0,0.0312,0.0606,0.9832,sms_spam,svm
C,1.0,0.9738,0.981,0.8047,0.8841,0.9856,sms_spam,svm
C,10.0,0.9797,0.9908,0.8438,0.9114,0.9849,sms_spam,svm
C,100.0,0.9797,0.9908,0.8438,0.9114,0.9849,sms_spam,svm
C,1000.0,0.9797,0.9908,0.8438,0.9114,0.9849,sms_spam,svm
kernel,linear,0.9767,0.9561,0.8516,0.9008,0.9835,sms_spam,svm
kernel,rbf,0.9738,0.981,0.8047,0.8841,0.9856,sms_spam,svm
kernel,poly,0.938,0.9848,0.5078,0.6701,0.9856,sms_spam,svm
kernel,sigmoid,0.9748,0.9474,0.8438,0.8926,0.9827,sms_spam,svm
C,0.001,0.876,0.0,0.0,0.0,0.9827,sms_spam,svm
C,0.01,0.876,0.0,0.0,0.0,0.9831,sms_spam,svm
C,0.1,0.8798,1.0,0.0312,0.0606,0.9832,sms_spam,svm
C,1.0,0.9738,0.981,0.8047,0.8841,0.9856,sms_spam,svm
C,10.0,0.9797,0.9908,0.8438,0.9114,0.9849,sms_spam,svm
C,100.0,0.9797,0.9908,0.8438,0.9114,0.9849,sms_spam,svm
C,1000.0,0.9797,0.9908,0.8438,0.9114,0.9849,sms_spam,svm
kernel,linear,0.9767,0.9561,0.8516,0.9008,0.9835,sms_spam,svm
kernel,rbf,0.9738,0.981,0.8047,0.8841,0.9856,sms_spam,svm
kernel,poly,0.938,0.9848,0.5078,0.6701,0.9856,sms_spam,svm
kernel,sigmoid,0.9748,0.9474,0.8438,0.8926,0.9827,sms_spam,svm
