value,mean,std
0.01,0.8659849771759346,0.0004220605190381321
0.1,0.9659131638904765,0.005136452626815303
1.0,0.98241846535331,0.0036137992866555313
5.0,0.9827768877152587,0.00274586401773491
10.0,0.9820592379096859,0.0028383718045435036
