dataset,algorithm,param_name,param_value,accuracy,precision,recall,f1,auc,additional_info,n_neighbors,weights,metric
heart,decision_tree,min_samples_leaf,18,0.8518518518518519,0.8333333333333334,0.8333333333333334,0.8333333333333334,,{},,,
heart,decision_tree,min_samples_leaf,19,0.8518518518518519,0.8333333333333334,0.8333333333333334,0.8333333333333334,,{},,,
heart,decision_tree,min_samples_leaf,20,0.8518518518518519,0.8333333333333334,0.8333333333333334,0.8333333333333334,,{},,,
heart,decision_tree,criterion,gini,0.7962962962962963,0.7407407407407407,0.8333333333333334,0.7843137254901961,,{},,,
heart,decision_tree,criterion,entropy,0.8148148148148148,0.7692307692307693,0.8333333333333334,0.8,,{},,,
heart,svm,C,0.001,0.5555555555555556,0.0,0.0,0.0,,{},,,
heart,svm,C,0.01,0.5555555555555556,0.0,0.0,0.0,,{},,,
heart,svm,C,0.1,0.8333333333333334,0.8260869565217391,0.7916666666666666,0.8085106382978723,,{},,,
heart,svm,C,1,0.8148148148148148,0.7692307692307693,0.8333333333333334,0.8,,{},,,
heart,svm,C,10,0.7962962962962963,0.7407407407407407,0.8333333333333334,0.7843137254901961,,{},,,
heart,svm,C,100,0.7222222222222222,0.6551724137931034,0.7916666666666666,0.7169811320754716,,{},,,
heart,svm,C,1000,0.7222222222222222,0.6551724137931034,0.7916666666666666,0.7169811320754716,,{},,,
heart,svm,kernel,linear,0.8518518518518519,0.8076923076923077,0.875,0.84,,{},,,
heart,svm,kernel,rbf,0.8148148148148148,0.7692307692307693,0.8333333333333334,0.8,,{},,,
heart,svm,kernel,poly,0.8518518518518519,0.8076923076923077,0.875,0.84,,{},,,
heart,svm,kernel,sigmoid,0.8333333333333334,0.7777777777777778,0.875,0.8235294117647058,,{},,,
obesity,logistic_regression,C,0.001,0.569377990430622,0.5833142135162398,0.569377990430622,0.5209285711127429,0.8782785451958082,{},,,
obesity,logistic_regression,C,0.01,0.6602870813397129,0.6295355177881885,0.6602870813397129,0.6268779890654403,0.9125161098526279,{},,,
obesity,logistic_regression,C,0.1,0.7679425837320574,0.7592962223208726,0.7679425837320574,0.7578170933785088,0.9539398239336688,{},,,
obesity,logistic_regression,C,1,0.8899521531100478,0.8912440639340788,0.8899521531100478,0.8874129311242543,0.9855055135375712,{},,,
obesity,logistic_regression,C,10,0.9425837320574163,0.9437302181008389,0.9425837320574163,0.9424072380579762,0.9950225374018726,{},,,
obesity,logistic_regression,C,100,0.9617224880382775,0.9628170918600141,0.9617224880382775,0.9618157216837631,0.9958662305790522,{},,,
obesity,logistic_regression,penalty,l1,0.9521531100478469,0.9533407119656675,0.9521531100478469,0.9521627592994439,0.996437433011574,{'C': 1.0},,,
obesity,logistic_regression,penalty,l2,0.8923444976076556,0.8938835545328545,0.8923444976076556,0.8900878045281999,0.985385913603571,{'C': 1.0},,,
obesity,knn,n_neighbors,1,0.8277511961722488,0.8246333672187541,0.8277511961722488,0.820186352300138,0.8999235520449818,{},,,
obesity,knn,n_neighbors,3,0.8014354066985646,0.7941130082843929,0.8014354066985646,0.7894793250640653,0.9340151313662318,{},,,
obesity,knn,n_neighbors,5,0.8086124401913876,0.79915026388297,0.8086124401913876,0.7939925756150078,0.9451911471339599,{},,,
obesity,knn,n_neighbors,7,0.7894736842105263,0.7775442188342718,0.7894736842105263,0.7749471663079508,0.9468221031541774,{},,,
obesity,knn,n_neighbors,9,0.7990430622009569,0.78844716920004,0.7990430622009569,0.7844749794559177,0.9481652751483229,{},,,
obesity,knn,n_neighbors,11,0.777511961722488,0.7636592540131625,0.777511961722488,0.7592493663863507,0.9450985077625852,{},,,
obesity,knn,n_neighbors,15,0.7607655502392344,0.7498828471388191,0.7607655502392344,0.7396486122964797,0.9504080150366231,{},,,
obesity,knn,n_neighbors,20,0.7488038277511961,0.7382069684885297,0.7488038277511961,0.7302421726384555,0.9472356161162973,{},,,
obesity,knn,n_neighbors,25,0.7392344497607656,0.7308089610804462,0.7392344497607656,0.7188062019717016,0.9444346721377701,{},,,
obesity,knn,n_neighbors,30,0.7296650717703349,0.7229152476525843,0.7296650717703349,0.7076547049264663,0.9417235804669147,{},,,
obesity,knn,n_neighbors,50,0.6866028708133971,0.677154163976728,0.6866028708133971,0.6620673753740443,0.9337621462836119,{},,,
obesity,knn,weights,uniform,0.8086124401913876,0.79915026388297,0.8086124401913876,0.7939925756150078,0.9451911471339599,{'n_neighbors': 5},,,
obesity,knn,weights,distance,0.8157894736842105,0.8115691030350398,0.8157894736842105,0.804285322591959,0.9484628942167748,{'n_neighbors': 5},,,
obesity,knn,distance_metric,euclidean,0.8086124401913876,0.79915026388297,0.8086124401913876,0.7939925756150078,0.9451911471339599,{'n_neighbors': 5},,,
obesity,knn,distance_metric,manhattan,0.8397129186602871,0.8341698404526806,0.8397129186602871,0.8331825358626064,0.9641036104178794,{'n_neighbors': 5},,,
obesity,decision_tree,max_depth,1,0.2894736842105263,0.09779792496404736,0.2894736842105263,0.1429001001190847,0.7270232042178454,{},,,
obesity,decision_tree,max_depth,2,0.5550239234449761,0.3860073135717902,0.5550239234449761,0.43845990122292744,0.8480581498858762,{},,,
obesity,decision_tree,max_depth,3,0.65311004784689,0.6053092210637809,0.65311004784689,0.610179764254075,0.9213197543429994,{},,,
obesity,decision_tree,max_depth,5,0.8325358851674641,0.8422439471551637,0.8325358851674641,0.830615027830738,0.970033148782407,{},,,
obesity,decision_tree,max_depth,7,0.9043062200956937,0.9128295858149665,0.9043062200956937,0.9061386530996217,0.976705011103713,{},,,
obesity,decision_tree,max_depth,10,0.9210526315789473,0.9224077221906601,0.9210526315789473,0.9213055601773492,0.9600510006246492,{},,,
obesity,decision_tree,max_depth,15,0.9186602870813397,0.9198801221944659,0.9186602870813397,0.9187587686218718,0.9550545738709408,{},,,
obesity,decision_tree,max_depth,20,0.9258373205741627,0.9266183186208888,0.9258373205741627,0.9259010264568622,0.9569059194441523,{},,,
obesity,decision_tree,max_depth,None,0.9258373205741627,0.9266183186208888,0.9258373205741627,0.9259010264568622,0.9569059194441523,{},,,
obesity,decision_tree,min_samples_split,2,0.9258373205741627,0.9266183186208888,0.9258373205741627,0.9259010264568622,0.9569059194441523,{},,,
