dataset,algorithm,parameter,metric,variance,std_dev,range,mean,min,max,cv,n_values
diabetes,knn,distance_metric,accuracy,2.3737733837589898e-08,0.00015407054824848876,0.0002178886588952711,0.8320949994552783,0.8319860551258307,0.832203943784726,0.00018515980549017758,2
diabetes,knn,distance_metric,precision,1.174164676565613e-06,0.001083588794961268,0.001532425969869744,0.40544940857722134,0.4046831955922865,0.40621562156215624,0.0026725622779022727,2
diabetes,knn,distance_metric,recall,6.495304169106321e-07,0.000805934499144088,0.001139763499073937,0.20985895426698958,0.20928907251745263,0.21042883601652657,0.0038403626948352713,2
diabetes,knn,distance_metric,f1,9.062374334667367e-07,0.0009519650379434828,0.0013462818675646915,0.2765675911168981,0.27589445018311576,0.27724073205068045,0.0034420701069819543,2
diabetes,knn,distance_metric,auc,8.457775128110545e-07,0.000919661629519822,0.001300597949261073,0.7088641458991096,0.7082138469244791,0.7095144448737402,0.0012973736009081697,2
diabetes,knn,n_neighbors,accuracy,0.0004206325486512862,0.020509328332524352,0.0693539601263754,0.8363220394378473,0.7813705196644515,0.8507244797908269,0.024523242680905742,11
diabetes,knn,n_neighbors,precision,0.007642541323630507,0.0874216296097854,0.2911082847667193,0.4625396506399309,0.2896609460025115,0.5807692307692308,0.18900353621324398,11
diabetes,knn,n_neighbors,recall,0.004319134805703522,0.06572012481503305,0.2097164838296054,0.16588739654703463,0.08605214418008263,0.295768628009688,0.3961731040633891,11
diabetes,knn,n_neighbors,f1,0.0026836159414180788,0.05180362865107114,0.14278839897221404,0.2291757275950309,0.14989452785705423,0.2926829268292683,0.22604326031686772,11
diabetes,knn,n_neighbors,auc,0.003970981360251712,0.06301572311932722,0.2121591632260742,0.7358758501569104,0.5824068986328922,0.7945660618589664,0.08563363386078021,11
diabetes,knn,weights,accuracy,3.0253504398678932e-05,0.005500318572471865,0.007778625122562333,0.8283146312234448,0.8244253186621636,0.832203943784726,0.006640373555091903,2
diabetes,knn,weights,precision,0.000563649328580327,0.023741300060871287,0.03357526853445336,0.38942798729492956,0.3726403530277029,0.40621562156215624,0.06096454501327621,2
diabetes,knn,weights,recall,1.8765339701058963e-05,0.0043318979328995,0.006126228807522449,0.2134919504202878,0.21042883601652657,0.21655506482404902,0.020290685079093488,2
diabetes,knn,weights,f1,5.502911883123276e-06,0.002345828613331178,0.0033175026399758223,0.2755819807306925,0.2739232294107046,0.27724073205068045,0.008512271401458561,2
diabetes,knn,weights,auc,2.6673052101079754e-05,0.005164596024964562,0.007303841742683059,0.7058625240023986,0.7022106031310571,0.7095144448737402,0.007316716569226747,2
diabetes,logistic_regression,C,accuracy,1.5144674188390963e-08,0.00012306369971844242,0.00030504412245346835,0.8506046410284345,0.8505501688637106,0.8508552129861641,0.0001446779076700671,6
diabetes,logistic_regression,C,precision,7.496758973413258e-06,0.00273802099579482,0.00685403386774841,0.5412014746769795,0.5399201596806387,0.5467741935483871,0.005059152873574541,6
diabetes,logistic_regression,C,recall,1.352985390308541e-05,0.0036782949722779725,0.009260578429975769,0.15227715249085813,0.1448924348197749,0.15415301324975067,0.024155265002731102,6
diabetes,logistic_regression,C,f1,1.824981630507452e-05,0.004271980372739852,0.0107516902812608,0.2376499391221287,0.22907985133460976,0.23983154161587056,0.017975937164218983,6
diabetes,logistic_regression,C,auc,2.4286451890289955e-10,1.558411110403476e-05,3.2711470421054045e-05,0.8101963513769062,0.8101851641468623,0.8102178756172833,1.9234980603837574e-05,6
diabetes,logistic_regression,penalty,accuracy,0.0,0.0,0.0,0.8505501688637106,0.8505501688637106,0.8505501688637106,0.0,2
diabetes,logistic_regression,penalty,precision,0.0,0.0,0.0,0.5399201596806387,0.5399201596806387,0.5399201596806387,0.0,2
diabetes,logistic_regression,penalty,recall,0.0,0.0,0.0,0.15415301324975067,0.15415301324975067,0.15415301324975067,0.0,2
diabetes,logistic_regression,penalty,f1,0.0,0.0,0.0,0.23983154161587056,0.23983154161587056,0.23983154161587056,0.0,2
diabetes,logistic_regression,penalty,auc,4.539448226449093e-15,6.737542746765391e-08,9.528324329544091e-08,0.8101859190833295,0.8101858714417078,0.8101859667249511,8.316045228715483e-08,2
diabetes,svm,C,accuracy,0.013056799999999986,0.11426635550327133,0.2559999999999999,0.7706,0.591,0.8469999999999999,0.14828231962531965,5
diabetes,svm,C,precision,0.015347240207734751,0.12388397881782273,0.2614831580315473,0.08785287057295467,0.0,0.2614831580315473,1.4101301187984194,5
